"111年11月11日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
="00680L","元大美債20正2","4,632,189","594","50,131,932","10.86","10.86","10.75","10.86","+","0.64","10.86","62","10.87","106","0.00",
="00681R","元大美債20反1","1,034,000","172","20,087,600","19.41","19.48","19.39","19.42","-","0.69","19.41","238","19.42","3","0.00",
="00682U","期元大美元指數","671,876","277","14,443,592","21.43","21.57","21.43","21.48","-","0.47","21.47","3","21.48","47","0.00",
="00683L","期元大美元指正2","3,187,912","913","75,209,418","23.49","23.71","23.49","23.51","-","1.02","23.50","103","23.51","128","0.00",
="00684R","期元大美元指反1","124,001","47","1,920,305","15.54","15.54","15.46","15.52","+","0.27","15.52","10","15.53","1","0.00",
="00685L","群益臺灣加權正2","386,673","168","12,394,609","32.24","32.34","31.68","32.20","+","2.29","32.20","7","32.26","1","0.00",
="00686R","群益臺灣加權反1","1,218,000","97","4,963,920","4.06","4.10","4.06","4.08","-","0.15","4.08","1,497","4.09","76","0.00",
="00688L","國泰20年美債正2","1,654,000","208","17,733,010","10.78","10.79","10.68","10.71","+","0.58","10.70","110","10.71","66","0.00",
="00689R","國泰20年美債反1","452,000","39","9,154,240","20.17","20.28","20.17","20.23","-","0.69","20.23","1","20.24","128","0.00",
="00690","兆豐藍籌30","1,014,537","1,387","27,289,200","26.95","27.20","26.50","26.97","+","0.93","26.96","31","26.99","1","0.00",
="00692","富邦公司治理","4,692,555","2,227","127,057,783","27.03","27.16","26.90","27.15","+","1.19","27.14","7","27.15","45","0.00",
="00693U","期街口S&P黃豆","205,158","63","5,287,517","25.80","25.88","25.72","25.82","-","0.37","25.82","48","25.84","51","0.00",
="00700","富邦恒生國企","899,672","159","10,095,728","11.03","11.35","11.03","11.25","+","0.53","11.22","4","11.25","79","0.00",
="00701","國泰股利精選30","1,943,760","815","42,659,883","22.05","22.08","21.84","21.99","+","0.32","21.98","7","21.99","2","0.00",
="00702","國泰標普低波高息","152,866","839","3,395,355","22.26","22.26","22.16","22.17","+","0.44","22.12","30","22.17","19","0.00",
="00703","台新MSCI中國","88,411","420","1,215,783","13.69","13.84","13.69","13.76","+","0.60","13.85","25","13.88","20","0.00",
="00706L","期元大S&P日圓正2","10,843,357","1,251","98,468,337","9.07","9.19","8.97","9.18","+","0.51","9.17","460","9.18","82","0.00",
="00707R","期元大S&P日圓反1","102,000","18","2,599,010","25.50","25.51","25.37","25.38","-","0.79","25.36","1","25.38","11","0.00",
="00708L","期元大S&P黃金正2","3,057,411","595","71,555,114","23.45","23.54","23.31","23.54","+","1.14","23.53","110","23.54","2","0.00",
="00709","富邦歐洲","90,781","1,017","2,020,287","22.20","22.28","22.20","22.26","+","0.65","22.28","35","22.42","20","0.00",
="00710B","FH彭博非投等債","471,675","142","8,582,569","18.27","18.28","18.17","18.19","+","0.07","18.18","9","18.19","9","0.00",
="00711B","FH彭博新興債","119,787","757","1,851,417","15.50","15.50","15.40","15.42","+","0.31","15.30","1","15.42","18","0.00",
="00712","FH富時不動產","5,470,725","1,757","58,800,863","10.85","10.85","10.68","10.72","+","0.49","10.72","41","10.73","191","0.00",
